route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,block_code,vehicle_type
tallinna-lin_bus_1A,50696,46,"Viimsi keskus",0,175388,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,50696,47,"Viimsi keskus",0,175389,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50696,48,"Viimsi keskus",0,175386,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50696,49,"Viimsi keskus",0,175385,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50696,50,"Viimsi keskus",0,175389,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50696,51,"Viimsi keskus",0,175386,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50696,52,"Viimsi keskus",0,175385,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50696,53,"Viimsi keskus",0,175389,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50696,54,"Viimsi keskus",0,175386,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50696,55,"Viimsi keskus",0,175385,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50696,56,"Viimsi keskus",0,175389,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50696,57,"Viimsi keskus",0,175386,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50697,58,"Viimsi keskus",0,175392,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50697,59,"Viimsi keskus",0,175391,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50697,60,"Viimsi keskus",0,175393,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50697,61,"Viimsi keskus",0,175392,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50697,62,"Viimsi keskus",0,175391,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50697,63,"Viimsi keskus",0,175393,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50697,64,"Viimsi keskus",0,175392,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50697,65,"Viimsi keskus",0,175391,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50697,66,"Viimsi keskus",0,175394,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,50697,67,"Viimsi keskus",0,175390,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,50697,68,"Viimsi keskus",0,175393,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50697,69,"Viimsi keskus",0,175392,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50697,70,"Viimsi keskus",0,175394,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,50697,71,"Viimsi keskus",0,175391,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50697,72,"Viimsi keskus",0,175390,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,50697,73,"Viimsi keskus",0,175393,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50697,74,"Viimsi keskus",0,175392,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50697,75,"Viimsi keskus",0,175394,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,50697,76,"Viimsi keskus",0,175391,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50697,77,"Viimsi keskus",0,175390,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,50697,78,"Viimsi keskus",0,175393,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50697,79,"Viimsi keskus",0,175392,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50697,80,"Viimsi keskus",0,175391,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50697,81,"Viimsi keskus",0,175394,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,50697,82,"Viimsi keskus",0,175393,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50697,83,"Viimsi keskus",0,175390,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,50697,84,"Viimsi keskus",0,175392,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50697,85,"Viimsi keskus",0,175391,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50697,86,"Viimsi keskus",0,175394,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,50697,87,"Viimsi keskus",0,175393,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50697,88,"Viimsi keskus",0,175390,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,50697,89,"Viimsi keskus",0,175392,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50697,90,"Viimsi keskus",0,175391,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50697,91,"Viimsi keskus",0,175394,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,50697,92,"Viimsi keskus",0,175393,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50697,93,"Viimsi keskus",0,175390,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,50697,94,"Viimsi keskus",0,175392,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50697,95,"Viimsi keskus",0,175391,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50697,96,"Viimsi keskus",0,175394,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,50697,97,"Viimsi keskus",0,175393,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50697,98,"Viimsi keskus",0,175390,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,50697,99,"Viimsi keskus",0,175392,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50697,100,"Viimsi keskus",0,175394,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,50697,101,"Viimsi keskus",0,175391,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50697,102,"Viimsi keskus",0,175393,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50697,103,"Viimsi keskus",0,175392,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50697,104,"Viimsi keskus",0,175391,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50697,105,"Viimsi keskus",0,175393,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50697,106,"Viimsi keskus",0,175392,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50697,107,"Viimsi keskus",0,175391,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50697,108,"Viimsi keskus",0,175393,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,50697,109,"Viimsi keskus",0,175392,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,50697,110,"Viimsi keskus",0,175391,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,50697,111,"Viimsi keskus",0,175393,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,46720,112,"Viimsi keskus",0,163678,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,46720,113,"Viimsi keskus",0,163680,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,46720,114,"Viimsi keskus",0,163677,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,46720,115,"Viimsi keskus",0,163679,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,46720,116,"Viimsi keskus",0,163676,tallinna-lin_bus_1A_a-b,1,1A-06,L
tallinna-lin_bus_1A,46720,117,"Viimsi keskus",0,163682,tallinna-lin_bus_1A_a-b,1,1A-07,L
tallinna-lin_bus_1A,46720,118,"Viimsi keskus",0,163678,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,46720,119,"Viimsi keskus",0,163681,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,46720,120,"Viimsi keskus",0,163680,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,46720,121,"Viimsi keskus",0,163677,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,46720,122,"Viimsi keskus",0,163679,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,46720,123,"Viimsi keskus",0,163676,tallinna-lin_bus_1A_a-b,1,1A-06,L
tallinna-lin_bus_1A,46720,124,"Viimsi keskus",0,163682,tallinna-lin_bus_1A_a-b,1,1A-07,L
tallinna-lin_bus_1A,46720,125,"Viimsi keskus",0,163678,tallinna-lin_bus_1A_a-b,1,1A-01,L
tallinna-lin_bus_1A,46720,126,"Viimsi keskus",0,163681,tallinna-lin_bus_1A_a-b,1,1A-05,L
tallinna-lin_bus_1A,46720,127,"Viimsi keskus",0,163680,tallinna-lin_bus_1A_a-b,1,1A-02,L
tallinna-lin_bus_1A,46720,128,"Viimsi keskus",0,163677,tallinna-lin_bus_1A_a-b,1,1A-03,L
tallinna-lin_bus_1A,46720,129,"Viimsi keskus",0,163679,tallinna-lin_bus_1A_a-b,1,1A-04,L
tallinna-lin_bus_1A,46720,130,"Viimsi keskus",0,163676,tallinna-lin_bus_1A_a-b,1,1A-06,L
