stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,thoreb_id
9275,21947-1,"Kernu",,59.13409,24.49904,,,,9275
4897,21910-1,"Kohatu",,59.14561,24.50570,,,,4897
4898,21909-1,"Kohatu",,59.14586,24.50580,,,,4898
4949,23339-1,"Laiavainu",,59.28537,24.53458,,,,4949
4950,23358-1,"Laiavainu",,59.28550,24.53546,,,,4950
1622,20821-1,"Nõlvaku",,59.35072,24.62794,,,,1622
1623,20822-1,"Nõlvaku",,59.35044,24.62691,,,,1623
4978,23318-1,"Peoleo",,59.33567,24.60721,,,,4978
4947,23341-1,"Uku tee",,59.27692,24.52405,,,,4947
4948,23264-1,"Uku tee",,59.27826,24.52638,,,,4948
130186,23396-1,"Urda",,59.34184,24.61570,,,,207
138130,47344-1,"Kurvi tee",,59.34141,24.55539,,,,5648
126691,23386-1,"Püha",,59.35802,24.53140,,,,56
126692,23387-1,"Püha",,59.35795,24.53144,,,,57
136882,47338-1,"Roosi tee",,59.36413,24.51458,,,,4653
4891,21906-1,"Haiba",,59.12770,24.46963,,,,4891
4892,21905-1,"Haiba",,59.12760,24.46951,,,,4892
4895,21912-1,"Kernu kool",,59.13600,24.49824,,,,4895
4896,21911-1,"Kernu kool",,59.13613,24.49849,,,,4896
4887,21934-1,"Miilimaa",,59.12212,24.41300,,,,4887
4888,21933-1,"Miilimaa",,59.12191,24.41188,,,,4888
4889,21938-1,"Mõnuste",,59.12511,24.43589,,,,4889
4890,21937-1,"Mõnuste",,59.12497,24.43827,,,,4890
4881,22733-1,"Odulemma",,59.12391,24.36201,,,,4881
4874,22701-1,"Alema",,59.09587,24.34077,,,,4874
4875,22702-1,"Alema",,59.09345,24.34225,,,,4875
4872,22729-1,"Jaama tee",,59.11854,24.30824,,,,4872
4873,22730-1,"Jaama tee",,59.11859,24.30835,,,,4873
4878,22718-1,"Nissi kool",,59.10830,24.31358,,,,4878
4879,22717-1,"Nissi kool",,59.10841,24.31386,,,,4879
4917,22703-1,"Aude",,59.16478,24.25298,,,,4917
4918,22704-1,"Aude",,59.16489,24.25327,,,,4918
4920,22715-1,"Munalaskme",,59.18476,24.26475,,,,4920
4919,22716-1,"Männimaa",,59.19129,24.26943,,,,4919
137900,22756-1,"Sepu tee",,59.19114,24.26157,,,,164
137901,22757-1,"Sepu tee",,59.19036,24.26174,,,,239
144716,21989-1,"Kasekännu",,59.19389,24.45267,,,,6004
144718,21988-1,"Kasekännu",,59.19406,24.45340,,,,6005
4909,21922-1,"Kääbastemägi",,59.19844,24.46795,,,,4909
9271,21950-1,"Kääbastemägi",,59.19854,24.46803,,,,9271
4929,21930-1,"Laitse",,59.19413,24.39910,,,,4929
4930,21929-1,"Laitse",,59.19343,24.39754,,,,4930
4912,21941-1,"Ruila kool",,59.19220,24.43963,,,,4912
136994,47340-1,"Veskirahva",,59.35377,24.59971,,,,4851
136995,47341-1,"Veskirahva",,59.35379,24.60009,,,,4856
