route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
harju_regionalbus_S2,"S2","Püha - Laagri kool - Koidu - Saue Gümnaasium",,3,,,
harju_regionalbus_S3,"S3","Kindluse - Vatsla - Harku - Laagri kool - Pääsküla G",,3,,,
harju_regionalbus_S4,"S4","Saue - Koidu - Laagri - Hüüru - Kurvi",,3,,,
harju_regionalbus_S5,"S5","Saue - Koidu - Laagri - Alliku",,3,,,
harju_regionalbus_S6,"S6","Püha - Seltsimaja - Vanamõisa - Saue Gümnaasium",,3,,,
harju_regionalbus_S7,"S7","Laagri - Koidu - Saue - Vanamõisa - Valingu - Jõgisoo",,3,,,
harju_regionalbus_S8,"S8","Saue - Ruila - Riisipere - Lehetu - Turba - Ellamaa",,3,,,
harju_regionalbus_S9,"S9","Saue - Kiia - Tuula - Ääsmäe - Haiba",,3,,,
harju_regionalbus_SK1,"SK1","Mõnuste - Haiba - Kernu - Muusika - Allikmäe - Ruila",,3,,,
harju_regionalbus_SK2,"SK2","Ruila - Kibuna - Laitse - Ruila",,3,,,
harju_regionalbus_SK3,"SK3","Ruila - Kaasiku - Kibuna -Laitse - Harutee",,3,,,
harju_regionalbus_SK4,"SK4","Jaanika - Kaasiku - Ruila - Haiba - Kernu",,3,,,
harju_regionalbus_SN1,"SN1","Munalaskme - Riisipere - Tabara - Turba - Nissi",,3,,,
harju_regionalbus_SN2,"SN2","Ellamaa - Turba - Pajaka - Nissi",,3,,,
harju_regionalbus_SN3,"SN3","Nissi - Turba - Tabara - Nissi - Munalaskme - Nissi",,3,,,
harju_regionalbus_SN4,"SN4","Turba - Kivitammi - Siimika - Lepaste - Ellamaa - Risti",,3,,,
harju_regionalbus_SN5,"SN5","Nissi - Lehetu - Turba",,3,,,
harju_regionalbus_V1,"V1","Haabneeme - Rohuneeme",,3,,,
harju_regionalbus_V2,"V2","Haabneeme - Leppneeme - Randvere",,3,,,
harju_regionalbus_V3,"V3","Haabneeme - Viimsi - Soosepa - Viimsi - Haabneeme",,3,,,
harju_regionalbus_V4,"V4","Haabneeme - Leppneeme - Randvere - Mähe - Viimsi - Haabneeme",,3,,,
harju_regionalbus_V4A,"V4A","Haabneeme - Tammneeme - Randvere - Mähe - Viimsi - Haabneeme",,3,,,
harju_regionalbus_V5,"V5","Haabneeme - Kelvingi - Leppneeme",,3,,,
harju_regionalbus_V6,"V6","Haabneeme - Leppneeme - Randvere - Mähe - Muuga",,3,,,
harju_regionalbus_V7,"V7","Haabneeme - Leppneeme-Randvere-Muuga-Mähe-Viimsi-Haabneeme",,3,,,
harju_regionalbus_V7A,"V7A","Haabneeme - Leppneeme-Randvere-Muuga sadam - Mähe - Haabneeme",,3,,,
harju_regionalbus_V8,"V8","Haabneeme - Viimsi - Mähe - Randvere - Leppneeme - Haabneeme",,3,,,
harju_regionalbus_V9,"V9","Haabneeme - Viimsi - Mähe-Muuga-Randvere-Leppneeme - Haabneeme",,3,,,
harju_regionalbus_VV1,"VV1","Vasalemma - Rummu - Ämari - Vasalemma",,3,,,
harju_regionalbus_VV2,"VV2","Vasalemma - Ämari - Rummu - Vasalemma",,3,,,
harju_regionalbus_Ä1,"Ä1","Ääsmäe - Jõgisoo - Valingu - Keila- Tuula- Orava- Ääsmäe",,3,,,
harju_regionalbus_Ä2,"Ä2","Ääsmäe - Jõgisoo - Valingu",,3,,,
harju_regionalbus_Ä3,"Ä3","Ääsmäe - Tuula - Keila - Valingu - Jõgisoo - Ääsmäe",,3,,,
harju_regionalbus_Ä4,"Ä4","Ääsmäe - Koppelmaa - Tuula - Ääsmäe",,3,,,
harju_regionalbus_100,"100","Tallinn - Laagna - Maardu",,3,,,
harju_regionalbus_101,"101","Tallinn - Maardu",,3,,,
